Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
kenda-tube-1,Kenda Tube 20.00% Off Auto renew,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",Kenda,Tube,Subscription,false,Valve Length,60mm Presta (great for 30-50mm rims),Rim Size,700x28-32,,,Tubes - 700x28/32 - 60mm,44.996363104,shopify,25,continue,manual,6.40,,true,true,"",https://cdn.shopify.com/s/files/1/0319/6236/6084/products/tube_1_bf4d419b-d79f-492c-a658-1b1ab7558ad0.jpg?v=1583266653,1,,false,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,60mm Presta (great for 30-50mm rims),,700x25-32,,,Tubes - 700x25/32 Ultra - 60mm,44.996363104,shopify,205,continue,manual,6.40,,true,true,"",https://cdn.shopify.com/s/files/1/0319/6236/6084/products/kenda-tube_1_1b2f5618-3a2d-42b4-b10e-d79cc5c828e5.jpg?v=1583266653,2,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,60mm Presta (great for 30-50mm rims),,700x23-25,,,tubes - 700x23/25 - 60mm,44.996363104,shopify,56,continue,manual,6.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,60mm Presta (great for 30-50mm rims),,650c Micro Rim,,,Tubes - 650x18/23 - 60mm,44.996363104,shopify,44,continue,manual,6.40,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,60mm Presta (great for 30-50mm rims),,"26""",,,Tubes - FGFS,44.996363104,shopify,14,continue,manual,6.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,80mm Presta (great for 60mm rims),,700x28-32,,,Tubes - 700x28/32 - 80mm,44.996363104,shopify,26,continue,manual,6.40,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,40mm Presta (great for 10-30mm rims),,700x35 (Pure City),,,Tubes - 700x35/40 - 40mm,44.996363104,shopify,67,continue,manual,8.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,40mm Presta (great for 10-30mm rims),,26x1.25 (Pure City),,,Tubes - 26x1.25 - 40mm,44.996363104,shopify,136,continue,manual,8.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,40mm Schrader (great for 10-30mm rims),,700x35 (Pure City),,,Tubes - Schrader - 700x35/43,44.996363104,shopify,140,continue,manual,8.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,40mm Schrader (great for 10-30mm rims),,26x1.25 (Pure City),,,Tubes - Schrader - 26x1.25,44.996363104,shopify,138,continue,manual,8.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
kenda-tube-1,,,,,,,,30mm Presta (great for 10-25mm rims),,700x18-25,,,Tubes - 700x18/25 - 30mm,44.996363104,shopify,28,continue,manual,6.40,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
continental-tube-1,Conti Race Tube 20.00% Off Auto renew,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",Continental,Tube,Subscription,false,Size,20x25,,,,,Tubes - 700x20/25 Conti Pv60,44.996363104,shopify,9,continue,manual,8.80,,true,true,"",https://cdn.shopify.com/s/files/1/0319/6236/6084/products/Conti-race-tube-WEB_53b0eea6-7f62-4bab-a6db-8569343eb033.jpg?v=1583266593,1,,false,,,,,,,,,,,,,,,,,lb,,
continental-tube-1,,,,,,,,25x32,,,,,Tubes - 700x25/32 Conti Pv 60,44.996363104,shopify,4,continue,manual,8.80,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
dzr-minna,DZR Minna,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>DZR’s all-time best seller, the Minna is proudly named after the gritty S.F. alley their showroom calls home. Understated tones, locally designed graphics, and a Variable Flex Shank combine to create a sneaker that’s as classic in its style as it is comfortable mashing on pedals.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>Variable flex shank for riding performance and walking comfort</li>
<li>Full-grain leather</li>
<li>Reflective heel badge for visibility</li>
<li>Elastic lace catch</li>
<li>Natural gum rubber sole for grip</li>
<li>Link traction outsole for grip</li>
<li>Two-hole cleat compatible</li>
</ul>
</div>",DZR,Shoes,"Accessories, Apparel, Shoes",true,Size,41,,,,,Shoes - DZR - Minna - 41,907.003303052,shopify,1,deny,manual,105.00,,true,true,"",https://cdn.shopify.com/s/files/1/0319/6236/6084/products/DZR_MINNA_PAIR_FRONT_WEB.jpg?v=1580484617,1,,false,,,,,,,,,,,,,,,,,lb,,
dzr-minna,,,,,,,,42,,,,,Shoes - DZR - Minna - 42,907.003303052,shopify,1,deny,manual,105.00,,true,true,"",https://cdn.shopify.com/s/files/1/0319/6236/6084/products/DZR_MINNA_PAIR_BACK_WEB.jpg?v=1580484617,2,,,,,,,,,,,,,,,,,,,lb,,
dzr-minna,,,,,,,,43,,,,,Shoes - DZR - Minna - 43,907.003303052,shopify,1,deny,manual,105.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
dzr-minna,,,,,,,,44,,,,,Shoes - DZR - Minna - 44,907.003303052,shopify,1,deny,manual,105.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
dzr-minna,,,,,,,,45,,,,,Shoes - DZR - Minna - 45,907.003303052,shopify,1,deny,manual,105.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,
